,distance,pref_speed
0,191165.7596535843,95.68187982679116
1,203953.55670144528,102.26727835072529
2,207268.17447354182,103.90258723676807
3,196452.99370201235,98.24349685100708
4,191685.6852307173,95.93484261535639
5,205513.91971771835,102.98395985886098
6,213824.58028680895,107.18929014340719
7,184342.8783004668,92.18143915023312
8,204839.50241446233,102.88225120723476
9,194241.3717729163,97.21468588645912
19,189425.5074164235,101.50175370821412
18,194194.7275151045,103.9813637575558
17,181672.8482743835,97.35192413719352
15,187156.18138691754,99.49959069346106
16,183333.3196241641,97.35815981208484
13,192244.19035198,101.68109517598758
12,185510.61128862298,99.36630564431108
11,184815.9243757782,98.63846218788854
10,183426.73647356115,98.30086823678327
14,186984.6163119126,99.97480815595239
29,213258.3611838554,106.68118059192626
28,214616.3651808678,107.34718259043596
27,222330.44268255448,111.22822134128123
26,214758.914006349,107.37945700317168
25,208496.00311064327,104.27800155531925
24,220987.21386242643,110.54510693121688
22,226032.0452573144,113.31802262865322
21,217520.54005217436,108.79727002608813
20,223189.69229461413,111.89734614730796
23,230981.1957592246,115.54659787960931
36,225961.67405620683,118.97483702810831
38,211928.5346709317,112.51476733546538
37,219563.02875401807,116.86551437700716
35,202303.71827947657,107.9203591397398
39,205965.55619793083,109.15327809896448
33,210873.50121419586,112.04475060709365
32,209718.05405260602,111.08502702630012
31,190955.78851524892,101.70939425762369
30,212123.54878209278,112.57477439104363
34,219460.4729903519,116.9012364951726
49,277328.54661971715,141.91827330985802
48,236165.15391109354,118.666576955541
47,233190.11504507408,116.61855752253253
46,240359.5118254635,120.27875591273045
45,227602.2896867707,113.84364484338859
44,224807.03016800855,112.48251508400443
43,233227.6157815066,116.69130789075616
42,236368.40822526312,118.1887041126294
41,250497.2761154874,126.58463805774609
40,248597.00039693015,125.03200019846241
58,215470.95520221585,114.42597760110272
59,213010.67501551018,113.51283750775302
56,217880.0424292301,115.8725212146102
55,234512.3387292548,124.24666936462657
57,191889.54697867366,102.3397734893359
53,237730.92870141796,127.16596435070461
52,209011.28969063962,111.21864484531652
51,227807.89453314221,120.88594726657409
50,237893.17971098388,126.38758985548992
54,229376.9353085379,122.76796765426569
69,265268.4292725217,133.0572146362548
68,255454.06790244277,127.83403395121994
66,259761.95211284,129.95947605641703
65,254145.56657015297,127.10328328507909
67,249107.10026520735,124.56705013260158
63,258000.57685429387,129.01028842714462
62,259948.94129847735,130.14797064923556
61,268275.2076491615,134.38960382457554
60,281680.76034783735,143.4368801739208
64,263263.08592078445,131.72004296038867
78,234484.40460504295,123.43320230252421
70,243485.5799482681,128.99128997413936
71,235489.9261615731,123.43346308078803
72,248464.69187369055,133.21434593685024
73,270136.5787047012,143.5872893523532
74,245556.05754742082,128.80052877370537
75,228967.76356644975,120.34688178322872
76,250418.96737928805,131.6679836896503
77,252193.1920760163,133.32409603801278
79,233930.3332432673,123.69166662163482
